rpm,boost_pressure,injection_quantity,afr,engine_displacement,fuel_type,is_turbo,stock_hp,stage1_gain_percent
4805.260962732438,0.9318482870427094,83.17167637275669,15.425128658956588,2.2094204114297202,diesel,1,293.6980255018403,9.98821866832887
6089.88393755217,1.0143865120080664,71.70712099531224,13.99536389472299,2.2358876571598043,petrol,0,159.02514120001436,3.1670804359968567
5145.291344478093,0.9854525968129868,82.80235182961775,16.019045045949888,3.1035516955829383,petrol,0,245.02519524301616,3.8118044661933768
1764.021155578268,1.7562685345394367,65.85716169308628,16.353793795953944,2.2734583085721782,diesel,1,209.5905495352823,3.128037093078954
3563.947586865229,1.1176730886712378,60.23604960118828,13.967183634925489,1.635784125893857,diesel,1,157.84674813244706,9.212863109599978
5406.68040198209,0.9887478379030175,31.62460779476831,15.07122976788739,1.9184432751786944,diesel,0,163.00589308636702,2.597513130668344
4848.926120307477,1.028072903102197,44.4186831653755,14.559335381788022,3.0099260682549183,petrol,0,240.63012183803417,3.605646910374707
4065.3221962946573,1.870998400382436,57.603874000044314,14.49110730296098,2.7373268121180847,diesel,1,310.83662689876286,11.6525828298773
3187.7604048579624,1.9947643025754327,27.545461439900556,12.262362337600797,2.2044499952344334,petrol,1,222.05255861981868,10.034470181833147
5289.829970995916,1.7300389564583427,40.479014608005286,15.663091730997156,2.7224079838718582,diesel,1,320.8401574888283,7.437304354969633
1803.12196258817,1.501462685144709,21.423407703487634,15.133441687849812,2.861426506371836,diesel,1,323.6097730400116,4.498626393586338
2926.1506190989867,0.9227098870425414,18.85044265903865,16.328539490472814,1.8934778050401158,diesel,1,230.0843075022977,6.285944697526443
4914.585059290375,0.9949361502143789,30.418117138386926,12.433759329690746,3.4291056678997647,diesel,0,285.8589142341211,5.296022885851702
4143.629586074618,0.9676772782939231,74.24607130692816,15.413337884258446,1.6654357390290295,diesel,0,115.21267723533684,3.7505919083943455
1372.888198383379,0.991580740217061,13.121063039641935,14.222958686600336,2.543425328499292,diesel,0,202.190608890969,1.2759007647334322
1855.3206238065623,2.0951681657275163,53.57958547752962,13.560914120406768,1.4378268257618687,petrol,1,171.65097081309173,7.664012663075477
1363.287999565656,1.4813216631734245,46.80302457658907,16.220219047387424,2.3092979049686706,diesel,1,298.2152524688935,1.4681126805024995
3815.765453840612,0.9938911460305047,11.620905991024781,15.71831365887461,1.8140440251113552,petrol,0,126.8870642629239,4.401726728166856
2474.9091894984467,1.0159422634691901,64.52459607151619,15.458913713629457,1.4497242046115202,diesel,0,116.22033430239468,0.48080349779187886
4007.173828592307,1.3192911974074142,72.23423073493099,15.637131624289358,1.7294921790582258,petrol,1,158.8895322805043,10.76095045415432
6141.8439922741945,1.0304509446148256,13.368296454424673,13.95793677001367,2.384631397232943,petrol,1,245.13594532911887,15.128342380025995
5903.301182308034,1.001885836038645,33.69467888730948,15.474055944499446,2.921798444750983,diesel,0,253.38939011840083,4.140141130945648
